species,sepalLength,sepalWidth,color
>13E7,2.3,10.5,"""#386cb0"""
<1E7,0.1,18.5,"""#7fc97f"""
9E7-13E7,0.2,5.8,"""##ffff99"""
5E7-9E7,2.6,9.9,"""#fdc086"""
>13E7,12.4,26,"""#386cb0"""
5E7-9E7,6,10,"""#fdc086"""
1E7-5E7,2.4,4.4,"""#beaed4"""
<1E7,2.8,2.8,"""#7fc97f"""
<1E7,0,0,"""#7fc97f"""
>13E7,2,2.1,"""#386cb0"""
9E7-13E7,2.3,4.7,"""##ffff99"""
1E7-5E7,6.3,7.1,"""#beaed4"""
1E7-5E7,6.8,86.4,"""#beaed4"""
>13E7,1.8,1.9,"""#386cb0"""
9E7-13E7,1.4,1.9,"""##ffff99"""
5E7-9E7,14.5,16,"""#fdc086"""
1E7-5E7,5.2,5.2,"""#beaed4"""
9E7-13E7,0.4,4.1,"""##ffff99"""
9E7-13E7,2.7,4.1,"""##ffff99"""
1E7-5E7,23.1,50.3,"""#beaed4"""
1E7-5E7,1.2,5.6,"""#beaed4"""
1E7-5E7,3.1,6.3,"""#beaed4"""
9E7-13E7,2.5,3.8,"""##ffff99"""
5E7-9E7,12.3,13.7,"""#fdc086"""
1E7-5E7,2.9,2.9,"""#beaed4"""
5E7-9E7,0.6,2.8,"""#fdc086"""
1E7-5E7,3.5,38.8,"""#beaed4"""
1E7-5E7,1,2.2,"""#beaed4"""
1E7-5E7,4.7,11.1,"""#beaed4"""
1E7-5E7,5.6,13.5,"""#beaed4"""
5E7-9E7,1.5,1.6,"""#fdc086"""
1E7-5E7,3.9,4.7,"""#beaed4"""
>13E7,3.2,24.1,"""#386cb0"""
9E7-13E7,1.7,5.8,"""##ffff99"""
1E7-5E7,8.1,12.4,"""#beaed4"""
>13E7,0.5,0.8,"""#386cb0"""
5E7-9E7,3.3,8.3,"""#fdc086"""
5E7-9E7,7.4,66,"""#fdc086"""
>13E7,1.4,2.7,"""#386cb0"""
<1E7,2,2.1,"""#7fc97f"""
9E7-13E7,1.7,3.8,"""##ffff99"""
<1E7,4.9,58.4,"""#7fc97f"""
5E7-9E7,1.2,13.2,"""#fdc086"""
>13E7,5.2,5.6,"""#386cb0"""
1E7-5E7,0.9,2.5,"""#beaed4"""
<1E7,5.2,27.6,"""#7fc97f"""
5E7-9E7,3.5,5.5,"""#fdc086"""
9E7-13E7,4.8,75.4,"""##ffff99"""
5E7-9E7,1,3.3,"""#fdc086"""
5E7-9E7,3.8,6.4,"""#fdc086"""
1E7-5E7,4.8,6.7,"""#beaed4"""
